Designator,Pin,PinName,Net,Category,Description
CN2,6,,DI3,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN2,7,,DI4,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN2,8,,DI5,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x8P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:8;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN1,1,,MCU_PC0_ADC1_IN10,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x4P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:4;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN1,2,,GND,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x4P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:4;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN1,3,,485B,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x4P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:4;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
CN1,4,,485A,连接器,连接器类型:板端/插座-开口;固定方式:卡扣固定;结构:1x4P;间距:5.08mm;颜色:绿色;安装方式:弯插;排数:1;每排PIN数:4;额定电流:10A;额定电压:300V;线规 - AWG:-;线规 - 平方毫米:-;工作温度:-40℃~+105℃;
R44,1,,MCU_PC0_ADC1_IN10,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R44,2,,485_DI_3V3,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
C53,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C53,2,,MCU_PC0_ADC1_IN10,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
